idalat,data,rssi,battery,datetime
14,3,50,50,Wed Apr  5 13:55:30 2017
14,3,50,50,Wed Apr  5 13:56:00 2017
14,3,80,50,Wed Apr  5 13:56:30 2017
14,3,50,50,Wed Apr  5 13:57:00 2017
14,3,75,50,Wed Apr  5 13:57:30 2017
14,3,78,50,Wed Apr  5 13:58:00 2017
14,3,50,50,Wed Apr  5 13:58:31 2017
14,3,79,50,Wed Apr  5 13:59:01 2017
14,3,71,50,Wed Apr  5 13:59:31 2017
14,3,50,50,Wed Apr  5 14:00:01 2017
14,3,50,50,Wed Apr  5 14:00:31 2017
14,3,50,50,Wed Apr  5 14:01:01 2017
14,3,78,50,Wed Apr  5 14:01:31 2017
14,3,78,50,Wed Apr  5 14:02:01 2017
14,3,78,50,Wed Apr  5 14:02:31 2017
14,3,50,50,Wed Apr  5 14:03:01 2017
14,3,78,50,Wed Apr  5 14:03:31 2017
14,3,50,50,Wed Apr  5 14:04:01 2017
14,3,78,50,Wed Apr  5 14:04:31 2017
14,3,78,50,Wed Apr  5 14:05:01 2017
14,3,78,50,Wed Apr  5 14:05:31 2017
14,3,78,50,Wed Apr  5 14:06:01 2017
14,3,50,50,Wed Apr  5 14:06:30 2017
14,3,50,50,Wed Apr  5 14:07:01 2017
14,3,78,50,Wed Apr  5 14:07:31 2017
14,3,50,50,Wed Apr  5 14:08:01 2017
14,3,50,50,Wed Apr  5 14:08:31 2017
14,3,50,50,Wed Apr  5 14:09:01 2017
14,3,50,50,Wed Apr  5 14:09:31 2017
14,3,78,50,Wed Apr  5 14:10:01 2017
14,3,78,50,Wed Apr  5 14:10:31 2017
14,3,78,50,Wed Apr  5 14:11:01 2017
14,3,78,50,Wed Apr  5 14:11:31 2017
14,3,78,50,Wed Apr  5 14:12:01 2017
14,3,78,50,Wed Apr  5 14:12:31 2017
14,3,50,50,Wed Apr  5 14:13:01 2017
14,3,78,50,Wed Apr  5 14:13:31 2017
14,3,78,50,Wed Apr  5 14:14:01 2017
14,3,50,50,Wed Apr  5 14:14:31 2017
14,3,78,50,Wed Apr  5 14:15:01 2017
14,3,82,50,Wed Apr  5 14:15:31 2017
14,3,82,50,Wed Apr  5 14:16:01 2017
14,3,50,50,Wed Apr  5 14:16:31 2017
14,3,78,50,Wed Apr  5 14:17:01 2017
14,3,50,50,Wed Apr  5 14:17:31 2017
14,3,50,50,Wed Apr  5 14:18:01 2017
14,3,85,50,Wed Apr  5 14:18:31 2017
14,3,50,50,Wed Apr  5 14:19:01 2017
14,3,50,50,Wed Apr  5 14:19:31 2017
14,3,88,50,Wed Apr  5 14:20:01 2017
14,3,89,50,Wed Apr  5 14:20:31 2017
14,3,85,50,Wed Apr  5 14:21:01 2017
14,3,50,50,Wed Apr  5 14:21:31 2017
14,3,85,50,Wed Apr  5 14:22:01 2017
14,3,85,50,Wed Apr  5 14:22:31 2017
14,3,78,50,Wed Apr  5 14:23:01 2017
14,3,78,50,Wed Apr  5 14:23:31 2017
14,3,78,50,Wed Apr  5 14:24:01 2017
14,3,50,50,Wed Apr  5 14:24:31 2017
14,3,85,50,Wed Apr  5 14:25:01 2017
14,3,88,50,Wed Apr  5 14:25:31 2017
14,3,75,50,Wed Apr  5 14:26:01 2017
14,3,71,50,Wed Apr  5 14:26:31 2017
14,3,92,50,Wed Apr  5 14:27:01 2017
14,3,50,50,Wed Apr  5 14:27:31 2017
14,3,78,50,Wed Apr  5 14:28:01 2017
14,3,50,50,Wed Apr  5 14:28:31 2017
14,3,85,50,Wed Apr  5 14:29:01 2017
14,3,73,50,Wed Apr  5 14:29:31 2017
14,3,92,50,Wed Apr  5 14:30:01 2017
14,3,102,50,Wed Apr  5 14:30:31 2017
14,3,75,50,Wed Apr  5 14:31:01 2017
14,3,85,50,Wed Apr  5 14:31:31 2017
14,3,85,50,Wed Apr  5 14:32:01 2017
14,3,85,50,Wed Apr  5 14:32:31 2017
14,3,71,50,Wed Apr  5 14:33:01 2017
14,3,78,50,Wed Apr  5 14:33:31 2017
14,3,85,50,Wed Apr  5 14:34:01 2017
14,3,50,50,Wed Apr  5 14:34:31 2017
14,3,78,50,Wed Apr  5 14:35:01 2017
14,3,78,50,Wed Apr  5 14:35:31 2017
14,3,79,50,Wed Apr  5 14:36:01 2017
14,3,78,50,Wed Apr  5 14:36:31 2017
14,3,78,50,Wed Apr  5 14:37:01 2017
14,3,50,50,Wed Apr  5 14:37:31 2017
14,3,50,50,Wed Apr  5 14:38:01 2017
14,3,50,50,Wed Apr  5 14:38:31 2017
14,3,50,50,Wed Apr  5 14:39:01 2017
14,3,81,50,Wed Apr  5 14:39:31 2017
14,3,82,50,Wed Apr  5 14:40:01 2017
14,3,50,50,Wed Apr  5 14:40:31 2017
