idalat,data,rssi,battery,datetime
14,3,78,50,Wed Apr  5 08:16:23 2017
14,3,78,50,Wed Apr  5 08:16:54 2017
14,3,78,50,Wed Apr  5 08:17:23 2017
14,3,78,50,Wed Apr  5 08:17:54 2017
14,3,78,50,Wed Apr  5 08:18:23 2017
14,3,78,50,Wed Apr  5 08:18:54 2017
14,3,50,50,Wed Apr  5 08:19:23 2017
14,3,50,50,Wed Apr  5 08:19:54 2017
14,3,81,50,Wed Apr  5 08:20:23 2017
14,3,50,50,Wed Apr  5 08:20:54 2017
14,3,50,50,Wed Apr  5 08:21:24 2017
14,3,82,50,Wed Apr  5 08:21:54 2017
14,3,50,50,Wed Apr  5 08:22:23 2017
14,3,85,50,Wed Apr  5 08:22:54 2017
14,3,50,50,Wed Apr  5 08:23:23 2017
14,3,85,50,Wed Apr  5 08:23:54 2017
14,3,85,50,Wed Apr  5 08:24:24 2017
14,3,50,50,Wed Apr  5 08:24:54 2017
14,3,50,50,Wed Apr  5 08:25:23 2017
14,3,82,50,Wed Apr  5 08:25:54 2017
14,3,50,50,Wed Apr  5 08:26:23 2017
14,3,50,50,Wed Apr  5 08:26:54 2017
14,3,82,50,Wed Apr  5 08:27:23 2017
14,3,50,50,Wed Apr  5 08:27:54 2017
14,3,50,50,Wed Apr  5 08:28:23 2017
14,3,50,50,Wed Apr  5 08:28:54 2017
14,3,50,50,Wed Apr  5 08:29:24 2017
14,3,79,50,Wed Apr  5 08:29:54 2017
14,3,85,50,Wed Apr  5 08:30:24 2017
14,3,50,50,Wed Apr  5 08:30:54 2017
14,3,85,50,Wed Apr  5 08:31:23 2017
14,3,85,50,Wed Apr  5 08:31:54 2017
14,3,50,50,Wed Apr  5 08:32:24 2017
14,3,85,50,Wed Apr  5 08:32:54 2017
14,3,50,50,Wed Apr  5 08:33:23 2017
14,3,71,50,Wed Apr  5 08:33:54 2017
14,3,50,50,Wed Apr  5 08:34:24 2017
14,3,68,50,Wed Apr  5 08:34:54 2017
14,3,50,50,Wed Apr  5 08:35:24 2017
14,3,50,50,Wed Apr  5 08:35:54 2017
14,3,50,50,Wed Apr  5 08:36:25 2017
14,3,50,50,Wed Apr  5 08:36:54 2017
14,3,112,50,Wed Apr  5 08:37:25 2017
14,3,50,50,Wed Apr  5 08:37:54 2017
14,3,50,50,Wed Apr  5 08:38:25 2017
14,3,126,50,Wed Apr  5 08:38:54 2017
14,3,112,50,Wed Apr  5 08:39:24 2017
14,3,50,50,Wed Apr  5 08:39:54 2017
14,3,50,50,Wed Apr  5 08:40:25 2017
14,3,106,50,Wed Apr  5 08:40:54 2017
14,3,50,50,Wed Apr  5 08:41:25 2017
14,3,50,50,Wed Apr  5 08:41:54 2017
14,3,105,50,Wed Apr  5 08:42:25 2017
14,3,50,50,Wed Apr  5 08:42:54 2017
14,3,50,50,Wed Apr  5 08:43:25 2017
14,3,50,50,Wed Apr  5 08:43:54 2017
14,3,106,50,Wed Apr  5 08:44:25 2017
14,3,50,50,Wed Apr  5 08:44:54 2017
14,3,50,50,Wed Apr  5 08:45:25 2017
14,3,50,50,Wed Apr  5 08:45:54 2017
14,3,50,50,Wed Apr  5 08:46:25 2017
14,3,50,50,Wed Apr  5 08:46:54 2017
14,3,50,50,Wed Apr  5 08:47:25 2017
14,3,50,50,Wed Apr  5 08:47:54 2017
14,3,89,50,Wed Apr  5 08:48:25 2017
14,3,85,50,Wed Apr  5 08:48:54 2017
14,3,50,50,Wed Apr  5 08:49:25 2017
14,3,50,50,Wed Apr  5 08:49:54 2017
14,3,85,50,Wed Apr  5 08:50:25 2017
14,3,85,50,Wed Apr  5 08:50:54 2017
14,3,50,50,Wed Apr  5 08:51:25 2017
14,3,50,255,Wed Apr  5 08:51:53 2017
50,255,50,255,Wed Apr  5 08:51:54 2017
14,3,75,50,Wed Apr  5 08:52:24 2017
14,3,82,50,Wed Apr  5 08:52:55 2017
14,3,81,50,Wed Apr  5 08:53:24 2017
14,3,82,50,Wed Apr  5 08:53:53 2017
14,255,81,255,Wed Apr  5 08:54:24 2017
3,50,82,255,Wed Apr  5 08:54:25 2017
14,3,82,50,Wed Apr  5 08:54:53 2017
14,3,82,50,Wed Apr  5 08:55:24 2017
14,3,82,50,Wed Apr  5 08:55:53 2017
14,3,82,50,Wed Apr  5 08:56:24 2017
14,3,50,50,Wed Apr  5 08:56:54 2017
14,3,82,50,Wed Apr  5 08:57:24 2017
14,3,50,50,Wed Apr  5 08:57:53 2017
14,3,82,50,Wed Apr  5 08:58:24 2017
14,3,50,50,Wed Apr  5 08:58:53 2017
14,3,50,50,Wed Apr  5 08:59:24 2017
14,3,82,50,Wed Apr  5 08:59:53 2017
14,3,82,50,Wed Apr  5 09:00:23 2017
14,3,82,50,Wed Apr  5 09:00:54 2017
14,3,50,50,Wed Apr  5 09:01:23 2017
14,3,82,50,Wed Apr  5 09:01:54 2017
14,3,81,50,Wed Apr  5 09:02:24 2017
14,3,82,50,Wed Apr  5 09:02:54 2017
14,3,50,50,Wed Apr  5 09:03:24 2017
14,3,85,50,Wed Apr  5 09:03:54 2017
14,3,85,50,Wed Apr  5 09:04:24 2017
14,3,50,50,Wed Apr  5 09:04:54 2017
14,3,85,50,Wed Apr  5 09:05:24 2017
14,3,85,50,Wed Apr  5 09:05:54 2017
14,3,85,50,Wed Apr  5 09:06:24 2017
14,3,50,50,Wed Apr  5 09:06:53 2017
14,3,50,50,Wed Apr  5 09:07:24 2017
14,3,85,50,Wed Apr  5 09:07:53 2017
14,3,50,50,Wed Apr  5 09:08:24 2017
14,3,50,50,Wed Apr  5 09:08:54 2017
14,3,88,50,Wed Apr  5 09:09:24 2017
14,3,88,50,Wed Apr  5 09:09:53 2017
14,3,50,50,Wed Apr  5 09:10:24 2017
